text,label,ZeroShot,COT,FewShot,COT_with_examples,APE
'The product shall operate with every platform.The product shall accommodate any new technology without any change in its architecture.',Quality,Quality,Non-Quality,Quality,Quality,Quality
'Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'For estimators the product shall be able to be operated in a repair facility during dirty and noisy conditions.',Quality,Quality,Quality,Non-Quality,Quality,Quality
'Website shall allow customers to browse movies by categories entered in by izogn administrator.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The owner shall have free access to all of the streaming movies.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The interface must summarize the data in a fashion that’s appealing to CCR management. Every report type must have at least one high level summary shown in the results dashboard/interface',Quality,Quality,Quality,Quality,Non-Quality,Quality
'Only registered customers can purchase streaming movies.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall have the ability to send meeting reminders to employees.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'Prior to submitting the lead to the enterprise system the leads washing functionality will assign the lead to an admissions rep.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'When the hit results in sinking a ship the product shall mark the ship as sunk on the offensive grid of the offensive player.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall allow for customization of start page and views preferences.',Quality,Quality,Non-Quality,Quality,Non-Quality,Quality
'Aside from server failure the software product shall achieve 99.99% up time.',Quality,Quality,Quality,Quality,Quality,Quality
The system must be available for use between 7:00AM and 11:59PM all days of the year.',Quality,Quality,Quality,Quality,Quality,Quality
'When the hit results in sinking a ship the product shall indicate the type of ship sunk on the defensive grid of the defensive player.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'Website shall allow customers to purchase pre-paid cards of $5 $10 or $20 value either by credit card or mail-in payment option.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'Only administrators can activate a pre-paid card.',Quality,Quality,Quality,Non-Quality,Non-Quality,Non-Quality
'The system shall update or create new property listings in the MLS',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall be translated into foreign languages other than the target market countries’ languages in future releases. For each emerging target market it shall take no more than 5 days to configure the product for that market’s language.',Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
On a 112k connection or faster the system response time for all operations must be no more than 3 seconds 90% of the time.',Quality,Quality,Quality,Quality,Quality,Quality
'The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.',Quality,Quality,Quality,Non-Quality,Quality,Quality
'Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'A new user must be able to be added to the system within 10 minutes. 90% of new users are able to log into the system within 10 minutes.',Quality,Quality,Quality,Non-Quality,Quality,Quality
'The Disputes application shall interface with the Cardmember Posting and Billing System. This will allow the Disputes application to request adjustments to cardmember and merchant’s accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall prevent its data from incorrect data being introduced.',Quality,Quality,Quality,Quality,Quality,Quality
The product shall be internet browser independent.The product must run using Internet Explorer and Netscape Navigator.',Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product must support Internet Explorer 5.5 and above.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The System shall be able to automatically backup business data and restore them on demand.',Quality,Quality,Quality,Quality,Quality,Quality
'The application shall ask the user to confirm dropping a player or trading a player before performing the action.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system identified by start month and year.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'Website shall allow customers to view reviews of selected movies by other customers.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'Data integrity scripts will be run on a weekly basis to verify the integrity of the database.',Quality,Quality,Quality,Quality,Quality,Quality
'The product shall process messages within 2 seconds.The product shall have a maximum message processing time of 2 seconds',Quality,Quality,Quality,Quality,Quality,Quality
'The product shall allow a player to initiate a game by selecting another available player from the list of players.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall be used in office environments.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall provide players no access to information that might reveal the identity of another player',Quality,Quality,Quality,Non-Quality,Non-Quality,Quality
'The notification of the game ending will include the reason the game is ended (i.e. a player has won the game or a player has ended the game).',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The website should cater to all tribes in Nigeria.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall prevent the player from overlapping ships on their grid.',Non-Quality,Quality,Quality,Quality,Non-Quality,Quality
'The System shall maintain consistent security. Any changes in user passwords and/or permissions should take affect in all parts of the System.',Quality,Quality,Quality,Quality,Quality,Quality
'The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'All screens created as part of the Disputes application must comply with corporate standards for interface creation.',Quality,Quality,Quality,Non-Quality,Non-Quality,Quality
