text,label,ZeroShot,COT,FewShot,COT_with_examples,APE
'Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system identified by start month and year.',Functional,Functional,Functional,Functional,Functional,Functional
'The system shall notify customers of changes to its information policy.',Functional,Functional,Functional,Functional,Functional,Functional
'Only the System Administrator shall be able to reset a revoked user logon account',Non-Functional,Functional,Functional,Functional,Functional,Functional
'Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student including student ID student name phone number e-mail status (full time or part time) and program of study.',Functional,Functional,Functional,Functional,Functional,Functional
'The product shall be available for use 24 hours per day 365 days per year',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The product shall be translated into foreign languages other than the target market countries’ languages in future releases. For each emerging target market it shall take no more than 5 days to configure the product for that market’s language.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The system shall allow a real estate agent to query MLS information',Functional,Functional,Functional,Functional,Functional,Functional
'The website will allow customers to search for movies by title actor or director.',Functional,Functional,Functional,Functional,Functional,Functional
'The Disputes System shall accurately provide a list of possible reason codes for a given transaction. The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to according to the business rules defined for the Disputes System.',Functional,Functional,Functional,Functional,Functional,Functional
'shall be able to stream purchased movie via Windows Media Player for up to 2 days aftere purchase date.',Functional,Functional,Functional,Functional,Functional,Functional
'A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.',Non-Functional,Functional,Functional,Functional,Functional,Functional
'A secondary database will be used to store historical statistics and data.',Non-Functional,Functional,Functional,Functional,Non-Functional,Functional
'The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.',Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The recycled parts audit report shall be returned to the user within 10 seconds. The audit report shall be returned within 10 seconds.',Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The product shall display conference rooms according to search parameters.',Functional,Functional,Functional,Functional,Functional,Functional
